rs11136000,rs1532278,rs2279590,rs569214,rs7341557,rs9331888,rs9331896,rs157580,rs157582,rs2075650,rs375972689,rs394819,rs405509,rs429358,rs439401,rs4420638,rs4803766,rs519113,rs56131196,rs584007,rs59007384,rs6859,rs71352238,rs7254776,rs7412,rs769449,rs769452,rs190982,rs3850651,rs6882046,rs10109834,rs2271920,rs28834970,rs10948363,rs9349407,rs9395288,rs2154481,rs4817090,rs75932628,rs9381040,rs9394766,rs10792830,rs10792832,rs17817600,rs3851179,rs471470,rs536841,rs561655,rs7113976,rs3818361,rs679515,rs10194375,rs1060743,rs12989701,rs13025765,rs17014873,rs4663099,rs4663105,rs6733839,rs744373,rs7561528,rs115550680,rs3764650,rs3795065,rs11218343,rs1562990,rs1582763,rs4938933,rs7108879,rs610932,rs7232,rs983392,rs3826656,rs3852865,rs3865444,rs1059768,rs6014724,rs7274581,rs11767557,rs11771145,rs12703526,rs7810606,rs2858331,rs6931277,rs9271192,rs35349669,rs6741388,rs17125944,rs1890078,rs165932,rs661,rs63749824,rs63750215,rs28936379,rs63750110,rs63750666,rs63750197,rs6759,rs1046240,rs1295645
-0.04188623,-0.01639123,-0.08546282,0.074846186,0.10711002,-0.08594451,-0.04167497,0.007097483,0.036781553,0.057995155,-0.103761956,-0.061180558,-0.06288504,-0.09787646,-0.08229016,-0.014195735,-0.006760103,0.028436352,-0.025177514,0.040095787,0.033525687,0.044210397,-0.115104705,0.074347556,-0.05924375,0.056694224,0.04236575,-0.07334651,-0.04087212,0.02232715,-0.008528758,-0.086573005,-0.08513445,0.02230986,-0.07062037,-0.028419185,-0.031138983,0.011663214,0.086030625,0.104161315,-0.0904595,0.07302463,0.000630184,0.03920927,-0.0623103,0.062144563,-0.104020864,0.03319541,-0.002253695,0.06905734,-0.073100634,0.016449014,-0.056960527,-0.051270492,-0.061861128,0.013714722,-0.03934635,-0.090208106,-0.006616735,0.11011075,-0.000687988,0.014290316,0.078454085,0.08688184,-0.08366088,0.034990348,0.036441125,0.011062739,0.034467407,0.032642692,-0.004125494,-0.0430209,0.090612344,0.004031817,-0.003837808,0.043868713,0.10189018,-0.009919854,0.048371784,-0.10541144,0.004133353,-0.095088996,0.07952034,-0.08678912,-0.046099637,-0.006823269,0.05295869,-0.007287595,0.028301936,-0.06314122,0.031687327,0.03222234,-0.070508316,-0.043274503,-0.1244892,-0.03181258,-0.030543007,-0.07383329,-0.057411894,-0.019986592
0.060947087,-0.09584125,-0.026428603,-0.048166472,0.001158348,-0.025948294,0.06687229,0.05237265,-0.052502505,-0.043291893,-0.024324214,-0.05844658,-0.058294956,0.023451606,-0.001644469,-0.031746395,-0.012777212,0.043519646,0.05164478,0.017781287,-0.061937623,-0.03126646,-0.09257641,-0.06644726,-0.05043611,-0.05138268,0.024884325,0.07250256,-0.010843454,-0.05120068,-0.089749694,-0.11119726,-0.028685907,-0.003427261,-0.043349802,0.071653746,-0.020829234,-0.07225218,-0.0734083,0.011829097,-0.09032058,-0.10709678,-0.025991946,-0.022954704,-0.011299141,-0.02854461,-0.07730139,-0.031083677,0.13108021,0.024424534,0.047449015,0.020109842,-0.01329422,-0.053605657,-0.08796422,0.09465806,0.027236078,0.09475154,-0.06487792,-0.024187885,0.0876005,-0.022947036,0.10284857,0.012782922,0.06923617,-0.08280808,-0.08649521,0.097585455,0.09497963,-0.06323418,-0.00308482,-0.058378235,-0.033977784,-0.044261485,0.030018741,-0.08556223,0.0858669,-0.10651258,-0.0374252,-0.045103304,0.10090175,-0.08748511,0.057530664,0.06899416,0.001452469,-0.079262756,-0.03664371,0.011059042,0.037238967,0.005544279,-0.003122405,-0.07876188,-0.0957645,-0.092023194,0.017075341,-0.020936672,0.025617609,0.0830956,0.08815378,0.06589174
-0.077039585,0.018999314,-0.07427323,0.055010635,0.08007351,0.04424839,0.035820134,0.06444286,0.004070994,0.027663704,-0.05006566,-0.020042334,0.038059715,0.026536282,0.010231121,0.07423243,-0.08420984,0.07643324,-0.010753914,-0.056387883,-0.00162354,-0.027266439,0.10750829,0.04765248,-0.003819256,0.08120086,0.1192672,-0.023444554,-0.105431564,0.047687445,-0.03656658,-0.047990564,0.016012615,0.022126155,-0.10560399,0.031780552,-0.01280646,0.07376692,0.046079956,-0.100161195,-0.057518236,0.059401464,-0.03458527,0.05423072,-0.12570341,0.042402107,0.12484466,-0.043528046,-0.019844133,-0.075057454,0.04127212,-0.015081777,0.07429987,0.003447934,0.04346958,0.03863156,0.021339096,0.012017438,0.09328646,0.085020125,-0.06381047,0.06232481,0.06655521,0.027105493,-0.04747002,0.051197972,0.01729334,-0.06988188,-0.036637846,-0.028346663,-0.032888282,-0.021710444,0.105052374,-0.08590603,-0.05288221,0.06137379,0.014549846,-0.04881294,0.06829726,0.08973482,-0.08787392,0.026400097,0.067386515,-0.051306125,0.097150646,-0.041259352,-0.008971318,-0.012680897,-0.069009766,0.023219485,0.03228083,-0.023915697,0.010767591,-0.077506036,-0.057499073,-0.059062753,0.008331263,-0.027219538,0.07041875,-0.035340622
-0.050530054,0.028083235,-0.057658333,0.07237846,-0.09496218,0.045404382,0.05457074,0.11604929,0.045134738,0.08127174,0.010674742,0.08101826,-0.0947362,0.037907757,0.027944926,0.09085643,0.024298215,0.007529417,0.044052184,-0.06690193,0.085250765,0.06698852,-0.062488053,-0.06400011,-0.029520165,0.018852893,0.078071415,0.062661946,0.04706531,0.04217291,-0.05155317,0.04054015,0.051133778,-0.03296638,-0.017878668,0.08054978,0.07477038,-0.086426996,0.033811465,0.040164072,0.013406267,0.05144817,0.03313643,0.037507527,0.028547047,0.06359942,-0.046149574,0.085303545,-0.11045909,0.05416101,0.01394693,-0.05009468,-0.021385852,-0.018428288,-0.011535978,-0.01843133,0.045907978,-0.054310612,0.028542822,0.003638886,-0.10984595,-0.04609171,-0.09952713,0.015108826,0.053812552,0.012014362,0.07490065,-0.083514825,-0.05330098,0.06982347,0.07196672,-0.06010349,0.00749188,-0.010784674,-0.047657408,-0.066480316,0.048708774,0.04851526,-0.03692896,-0.04707204,0.017475322,0.032727268,0.07258276,0.00513701,-0.04270678,-0.05574584,0.019780895,0.025434447,-0.09305267,0.031777706,-0.02197633,-0.08896281,0.05693103,-0.09656896,-0.05971168,-0.025266565,0.016857749,-0.06146714,-0.014506815,-0.11379017
-0.09079742,-0.047203854,-0.013652985,0.08701064,0.077426694,0.06907494,-0.002760609,-0.015276097,-0.044825684,0.053107284,-0.044329096,-0.034624893,-0.002078236,0.003738108,0.05851073,-0.016104048,0.051116936,0.05641842,-0.07187513,-0.05589599,0.07509291,0.060847025,0.010886658,0.015470524,0.03900455,0.04265151,0.056829758,0.07802535,-0.002532082,0.059450284,-0.033102445,-0.06539079,-0.025084551,-0.06531798,-0.07302877,-0.043895815,-0.03628422,-0.046298318,0.094163805,0.07279659,0.06465559,0.06024289,-0.048165124,0.009562381,0.07328376,-0.004254227,0.08306444,-0.059900627,0.107212245,0.039722186,0.10446398,-0.024156546,0.004883614,-0.029016033,-0.06510386,-0.05257904,-0.086812705,-0.024619317,-0.057460375,-0.012778297,0.1226069,0.109965526,0.005586619,0.057397205,0.02916846,0.07408253,0.055842746,-0.00341882,-0.034567446,-0.011369794,-0.059354357,-0.04909217,0.07607107,0.10299715,-0.008271334,0.08162336,-0.08455221,-0.052936185,-0.08253643,-0.084651075,0.105907835,0.001272572,-0.013066581,-0.04888236,-0.017690852,0.06373581,-0.044922493,0.001026803,-0.031628374,-0.05626763,-0.099206604,-0.10437768,-0.07471624,0.01251153,0.05670413,-0.085450575,-0.089651234,-0.009613512,-0.029189922,-0.031760737
-0.032633442,0.073073104,0.015256684,0.09331749,0.002856508,-0.087258674,0.043422975,0.068263516,0.055593625,-0.079366624,0.025066838,-0.0735533,0.062073093,0.08595571,-0.09216618,-0.022454211,0.04368088,0.074974984,-0.09844324,-0.008678347,-0.10290887,-0.09131797,0.000834353,-0.032069806,0.06629118,0.08334046,0.052322928,-0.06890064,0.09472139,-0.05808143,-0.03519995,-0.113275185,-0.031599652,-0.035335004,-0.014631754,-0.04659207,-0.050277404,0.03190296,0.08971431,-0.09030363,0.041625295,-0.055008,-0.04723492,-0.075332135,-0.057103816,-0.024907768,0.059373405,-0.020798275,-0.023047986,0.010950268,0.03826182,0.07715124,0.03112027,0.082382865,0.0623534,0.002945232,-0.034117404,0.007399001,-0.034331333,-0.08892136,-0.013959789,0.09728318,-0.012768982,0.017725077,0.047966305,-0.06465051,-0.04226172,0.08691969,-0.058590364,-0.10627154,-0.12402906,-0.10590189,0.048764657,-0.07373503,0.07660597,-0.017367594,0.028955951,-0.10365232,-0.008024223,-0.06695377,0.05431179,0.055961613,-0.03983334,0.07845324,0.07080496,-0.01093497,-0.058332462,-0.064786166,0.05175955,0.05264283,-0.032444753,0.032622848,0.036276974,0.014606004,-0.09704167,-0.05679832,-0.08628399,-0.03191513,0.058986675,-0.041417062
-0.032921363,-0.011555539,-0.08795724,0.022510696,0.042674854,0.06688736,0.003808832,-0.00851348,0.08148323,-0.065789945,-0.06796953,-0.09370038,-0.056659855,-0.085635655,-0.014627207,0.020897472,-0.032251887,0.047400054,-0.036524452,0.022122093,-0.06369891,0.009269632,0.09118321,0.09280428,-0.058865584,0.037638213,-0.016402703,-0.006182377,0.11448622,-0.008661416,-0.08892143,0.041775003,0.011843923,0.05044367,0.07622431,0.008270382,0.08239709,0.041220877,-0.08412617,-0.006302341,0.105469756,-0.1286158,0.06847349,0.10781079,0.04149968,-0.051268905,-0.06315892,0.084461495,0.10602982,0.016523378,0.08765822,0.06574825,0.055297464,-0.053249527,0.068945654,0.05925043,-0.08048481,-0.060053356,-0.090060815,0.11907453,0.024172002,0.10503221,0.056023497,-0.015681604,0.04800417,0.004289498,-0.021408113,0.009150527,-0.03956733,-0.10140662,0.015384044,0.02923065,-0.06842003,0.019453874,-0.113469064,-0.014692988,-0.042895135,0.032952596,0.10605826,-0.10480762,0.036332186,-0.017700745,-0.10078161,0.07186829,-0.010647996,0.09216147,0.08171067,-0.079385474,0.10146711,0.08031654,-0.009068765,0.018214673,-0.051363405,0.002503833,0.08578779,-0.021081338,-0.03632457,0.1080854,-0.041674215,0.016974103
0.05855432,-0.004834292,-0.052440107,0.040319864,-0.017091004,-0.080504775,0.040621445,-0.002832696,0.090149224,-0.051220957,0.001799875,0.067543566,0.020046895,-0.06203941,0.08887911,-0.08260663,0.055352256,0.097453244,-0.017710648,0.06631435,-0.040084653,0.05712527,-0.053676568,0.06707303,-0.057640407,0.04806996,0.09469705,-0.012243417,0.10111449,-0.037444018,-0.017646654,0.03317787,-0.005504076,0.113396674,-0.05687067,-0.026564986,0.086996384,0.08858846,0.021338494,0.01033498,0.017634159,-0.008687466,0.040933676,0.05888503,0.079870716,-0.011177531,0.055710692,0.005285699,0.028083837,0.06504319,-0.1033355,0.03294787,0.11496527,-0.028780289,-0.019516231,0.08529998,0.08705631,0.012837531,-0.040343452,0.08516908,-0.08423921,-0.060741004,-0.0891707,0.013519931,0.1084964,0.073380224,0.00917975,0.06395674,-0.028494464,0.07524615,0.050013773,-0.017854275,0.10956073,-0.025426598,-0.057449512,-0.060833547,-0.088792846,-0.02966711,0.12560573,-0.044352394,0.12224375,-0.062289476,-0.024693962,0.025063297,0.05864343,-0.072076805,-0.08919664,-0.07698977,-0.022827232,0.09173113,0.061893076,-0.04129266,0.04610291,-0.048886817,0.020519922,0.051620904,0.08937632,-0.002009504,-0.05659004,-0.041073002
-0.0808413,0.004530775,-0.027765375,-0.013370791,0.022194201,-0.059192453,-0.06133334,0.026466813,-0.05693379,0.06741552,-0.06013234,-0.08860307,0.08954595,0.09810398,0.08873506,-0.005324142,-0.07207105,-0.03401373,-0.04532001,0.04320983,0.10360486,0.022195537,0.058605216,0.06456109,0.06699053,-0.054364927,0.005070872,-0.09795567,-0.033121165,-0.07106321,0.038210955,0.08114177,-0.057672895,0.12495861,-0.08699697,-0.081290424,-0.08382745,-0.11130204,0.04854441,0.039026733,-0.044140935,0.010576053,-0.014980078,-0.052104518,0.037283827,0.033939246,0.075073056,0.07497256,0.08209509,0.061455183,-0.09030879,-0.05169639,0.1189816,0.007260829,0.06371011,0.04998545,-0.049524456,-0.04591137,0.06000298,-0.02741711,0.050786424,0.05683725,0.07967773,0.01189077,0.011970656,-0.008117156,0.009338815,-0.07535695,0.07071206,-0.04676545,0.06161691,0.06515712,0.005633724,0.04937782,-0.0645834,-0.052680813,-0.049533367,-0.052703034,0.08355748,0.030040316,0.04512833,-0.0772806,-0.08051489,0.007972012,0.11684067,0.04285896,0.056255613,0.00206862,0.082193136,0.060872506,-0.046814524,-0.022106692,0.08182074,-0.020864997,0.08876698,0.11010407,-0.04570854,-0.033190828,0.08835831,0.01864995
0.075867645,0.09128079,-0.09400966,0.062689416,0.000379233,0.08296306,0.0498456,0.078112386,-0.08443711,-0.09402564,-0.004620808,0.043212842,-0.09034248,0.006063171,-0.04492971,-0.026358226,0.047466606,-0.048940443,3.20E-05,0.09021518,-0.012465123,-0.01687411,0.010068173,-0.09379464,-0.04435461,0.103092946,0.07307782,0.030897817,0.08249155,0.054367907,0.056941725,-0.05989015,-0.047444638,0.035367444,0.013058313,0.09361733,0.059600007,0.014871999,0.06641374,0.037784193,-0.027906781,0.000271477,-0.006919523,-0.0885673,0.0380581,-0.01623086,-0.051668853,0.047114488,0.016716935,0.03276534,0.007309726,-0.033542298,-0.07445858,-0.019371696,0.049810167,-0.063199736,0.086964265,0.0769683,-0.09846893,0.0703641,-0.066303715,-0.006431459,0.086640656,0.02234581,0.02286868,0.015694972,-0.06206543,-0.09636232,-0.05601013,-0.09171257,-0.024038019,0.04495688,8.68E-05,-0.002691825,0.07856965,-0.017632574,-0.06270344,-0.08239078,-0.1078368,0.10927936,-0.005552284,0.08847337,0.097734965,-0.11501184,-0.09435001,-0.060766585,-0.055236205,-0.042849746,-0.057580095,0.041810524,0.055522885,0.024124486,0.011997337,-0.0821405,-0.06515394,0.007247168,-0.052707795,0.045911126,-0.011874083,0.05177489
