rs11136000,rs1532278,rs2279590,rs569214,rs7341557,rs9331888,rs9331896,rs157580,rs157582,rs2075650,rs375972689,rs394819,rs405509,rs429358,rs439401,rs4420638,rs4803766,rs519113,rs56131196,rs584007,rs59007384,rs6859,rs71352238,rs7254776,rs7412,rs769449,rs769452,rs190982,rs3850651,rs6882046,rs10109834,rs2271920,rs28834970,rs10948363,rs9349407,rs9395288,rs2154481,rs4817090,rs75932628,rs9381040,rs9394766,rs10792830,rs10792832,rs17817600,rs3851179,rs471470,rs536841,rs561655,rs7113976,rs3818361,rs679515,rs10194375,rs1060743,rs12989701,rs13025765,rs17014873,rs4663099,rs4663105,rs6733839,rs744373,rs7561528,rs115550680,rs3764650,rs3795065,rs11218343,rs1562990,rs1582763,rs4938933,rs7108879,rs610932,rs7232,rs983392,rs3826656,rs3852865,rs3865444,rs1059768,rs6014724,rs7274581,rs11767557,rs11771145,rs12703526,rs7810606,rs2858331,rs6931277,rs9271192,rs35349669,rs6741388,rs17125944,rs1890078,rs165932,rs661,rs63749824,rs63750215,rs28936379,rs63750110,rs63750666,rs63750197,rs6759,rs1046240,rs1295645
-0.06217485,-0.037695147,-0.06762359,0.05041847,0.10123068,-0.074938856,-0.033308905,-0.002044033,0.015342078,0.046217352,-0.09319842,-0.062482644,-0.028425382,-0.11121358,-0.0420688,-0.001785168,-0.005299065,0.045650292,-0.012787249,0.040416356,0.03933265,0.06775306,-0.08634278,0.08034973,-0.06378332,0.060967892,0.051712144,-0.0574239,-0.024077034,0.043534443,0.01929155,-0.072056696,-0.07169928,0.038402252,-0.0831796,-0.049465813,-0.033203408,-0.001287585,0.07395637,0.08098188,-0.06525813,0.09444364,0.022258146,0.06989721,-0.08565186,0.054850575,-0.10874623,0.06396741,-0.025632223,0.050879896,-0.088677585,-0.016136851,-0.04448239,-0.040797006,-0.0465717,0.03542738,-0.025849268,-0.10306828,0.016032357,0.08585874,0.003445431,0.002630213,0.061055537,0.085068375,-0.09846902,0.06388815,0.03571761,-0.011426161,0.028938837,0.038523342,0.011760492,-0.030026514,0.07679861,-0.03668529,-0.039404366,0.060311776,0.10859081,-0.001950615,0.04497595,-0.11707266,-0.031218696,-0.087026305,0.088512115,-0.07655814,-0.036981117,0.001886647,0.053865686,-0.016717644,0.032847103,-0.045910783,0.04324065,0.044086404,-0.04203021,-0.03528549,-0.10687678,-0.020247336,-0.018615363,-0.08733938,-0.0703339,0.001535396
0.039023694,-0.12013678,-0.018984383,-0.07401514,-0.003145406,-0.029260237,0.067916505,0.06535117,-0.09166883,-0.037332613,-0.02150778,-0.07342043,-0.064176455,-0.007934406,0.006277592,-0.047726825,-0.001320449,0.021251261,0.058758214,-0.001701825,-0.061767325,-0.025300007,-0.08879379,-0.086263694,-0.07240732,-0.06430034,0.029440613,0.052038576,-0.031966478,-0.01362534,-0.03856677,-0.10416016,0.00659756,0.023057332,-0.088244565,0.034019846,-0.019942785,-0.11345803,-0.1173907,-0.008611015,-0.103048295,-0.095484875,-0.02001183,-0.017250024,-0.022791633,-0.023235384,-0.05674156,-0.033208996,0.09680942,0.015496929,-0.000181549,-0.004554901,0.050937943,-0.04016591,-0.08722437,0.06874207,0.04088592,0.050192226,-0.06889103,-0.02873639,0.06722981,-0.065399535,0.08635101,-0.010083808,0.06114613,-0.021047803,-0.07752024,0.070073396,0.061570905,-0.06076919,0.023524808,-0.036918137,-0.07467024,0.006332996,0.041579723,-0.048168037,0.08266626,-0.09365773,0.000285251,-0.029592067,0.08108011,-0.093560055,0.09335541,0.08512278,0.0178009,-0.07345502,-0.029000018,-0.03045513,0.019068943,-0.015313825,0.001443282,-0.074318625,-0.09944028,-0.09157642,0.003967919,-0.016727895,0.029773794,0.07892551,0.08571811,0.054254003
-0.048710007,0.046285093,-0.08296769,0.04473482,0.10554118,0.0401587,0.043829426,0.09001082,0.009666672,0.03412304,-0.05847572,-0.004687083,0.002211597,0.06646557,0.010390164,0.07964013,-0.099952765,0.10988882,-0.024203986,-0.040986754,-0.020409811,-0.01088672,0.102671534,0.07005985,-0.000650669,0.06450164,0.10721363,0.000202829,-0.08523377,0.054982793,-0.05926655,-0.040867645,0.006018524,0.026934652,-0.07562285,0.031244315,-0.012708198,0.1027572,0.07559276,-0.09712865,-0.031564742,0.043793872,-0.04754852,0.06506844,-0.10034131,0.03179111,0.08901234,-0.050587695,-0.006212509,-0.034708973,0.06981882,-0.008902034,0.08436766,-0.001000705,0.039581075,0.003623138,0.014870061,0.041482028,0.09926918,0.10070268,-0.07838974,0.09163065,0.030162817,0.04262676,-0.03585143,0.051071957,0.011812901,-0.06436607,0.00360887,-0.043680403,-0.03858127,-0.03605003,0.089737676,-0.114658326,-0.09700908,0.10564057,-0.002648265,-0.051549613,0.055178728,0.06508131,-0.08587993,0.0103647,0.040804185,-0.0588567,0.10974035,-0.03548948,-0.006264236,-0.061805867,-0.059846938,0.03361039,0.021468129,-0.034860227,0.002867563,-0.09291564,-0.056800228,-0.06984461,-0.001823532,0.010276224,0.1093396,-0.033426758
-0.07494013,0.046539944,-0.050128322,0.059794836,-0.07585092,0.045600705,0.05934283,0.06805946,0.07692801,0.0467504,0.023357438,0.10237577,-0.04792751,0.04570147,0.024464816,0.07324469,0.006188373,0.007793592,0.053699326,-0.046243545,0.084364876,0.07069122,-0.050271373,-0.058383964,0.001665407,0.060101163,0.08559341,0.09943548,0.07089556,0.035087116,-0.084116295,0.03307611,0.027040178,-0.03915423,-0.00495723,0.11204349,0.084801614,-0.05460622,0.04624425,0.06994008,0.01513599,0.085030794,0.041345593,0.050379213,-0.00730656,0.075409986,-0.052162528,0.12400203,-0.08150041,0.052142058,0.030484393,-0.040187716,-0.026415663,-0.056324944,0.001052884,-0.03348539,0.06445847,-0.041824583,0.02730291,-0.010474096,-0.093022324,-0.034563586,-0.045643285,0.024989001,0.06523793,-0.023640975,0.07629916,-0.035184935,-0.03767274,0.050392523,0.06584848,-0.051918924,-0.0065759,-0.03005162,-0.06343948,-0.09959494,0.07955117,0.056720052,-0.033514228,-0.05539661,0.024318969,0.03581226,0.07454465,0.014374225,-0.003393999,-0.044328317,0.033683162,0.014559769,-0.090289906,0.030237678,-0.013530641,-0.080686554,0.059496127,-0.08590267,-0.039145824,-0.017032893,0.024768097,-0.07198353,-0.027321164,-0.07630898
-0.09212828,-0.03187284,-0.03253735,0.0384371,0.10414201,0.084534004,0.0057162,0.025546374,-0.008170379,0.012833495,-0.05206318,-0.006808156,0.006578313,-0.03252738,0.08053089,-0.033338062,0.041549373,0.055854153,-0.08206573,-0.030758744,0.07578877,0.08665499,-0.00534338,0.005646154,0.05977536,0.10057688,0.046124812,0.10443834,0.031687766,0.077255934,-0.011091214,-0.03711117,-0.01647084,-0.040016692,-0.114328034,-0.028889177,0.010012137,-0.07732635,0.053436615,0.07952266,0.09591523,0.052477583,-0.057289828,0.000739149,0.053367242,-0.000327598,0.068714075,-0.039187636,0.11202075,0.034703985,0.06562515,-0.038669884,0.023259083,-0.054305445,-0.08255297,-0.034515936,-0.093426615,-0.06578094,-0.055842042,-0.024310365,0.113096364,0.068849295,-0.004865682,0.072678216,0.027730938,0.06571783,0.08489003,-0.022993961,-0.019165533,-0.007765701,-0.08689873,-0.07494737,0.10055029,0.08915942,0.004286827,0.098447494,-0.07020601,-0.039645463,-0.054693002,-0.082836375,0.10777718,-0.007773934,0.016266625,-0.055547073,-0.013583385,0.05116973,-0.044576615,-0.002320875,-0.03871917,-0.050502684,-0.10391289,-0.10903101,-0.08031934,-0.001727801,0.043486625,-0.090230204,-0.09400972,0.000951036,-0.01755879,-0.006780491
-0.031486087,0.07379126,0.024763804,0.050548177,0.012388521,-0.086032726,0.038875014,0.05195333,0.017561464,-0.06988962,0.035603765,-0.058685552,0.04094313,0.06581675,-0.06589313,0.030381143,0.03813795,0.082038976,-0.08271316,0.010865537,-0.09791585,-0.08387754,0.004754932,-0.020371739,0.09274052,0.06777561,0.06117359,-0.07223981,0.091496974,-0.062442355,0.003654177,-0.04362319,-0.010165934,-0.000967754,-0.04298696,-0.044859808,-0.05751522,0.015658334,0.061517145,-0.093370326,0.07044825,-0.049327016,-0.039143365,-0.03679547,-0.048436694,-0.014713526,0.046220507,-0.010996604,-0.051615164,-0.020924706,0.008046177,0.047317974,0.07638849,0.072023265,0.061509278,-0.012359861,-0.04528376,-0.022196192,-0.01706371,-0.07996737,-0.040495552,0.06994118,-0.022794493,0.019981325,0.055629257,-0.026231276,-0.025701473,0.07305751,-0.046761736,-0.08795475,-0.090454645,-0.083298735,0.06531693,-0.0439119,0.08771252,0.03754005,0.024906663,-0.099826954,0.008453577,-0.031743344,0.03713362,0.046561424,-0.04730647,0.08692303,0.07909893,0.017751124,-0.0638629,-0.09766971,0.07421283,0.066762924,-0.02210313,0.04306553,0.029411579,0.020436369,-0.09705001,-0.046621054,-0.07492187,-0.048112508,0.04071135,-0.018485622
-0.04148773,-0.023491804,-0.06755268,-0.022950647,0.041755166,0.091236435,0.014342651,-0.039493956,0.05787405,-0.06572556,-0.05373992,-0.08627513,-0.074795075,-0.09964529,0.022435961,0.06539288,-0.006664793,0.050921347,-0.018182961,0.037973493,-0.03625707,-0.02222709,0.09985988,0.08065092,-0.03391106,0.021546746,-0.006714385,-0.027095173,0.10043312,-0.011718976,-0.077782705,0.09591833,0.017679501,0.055617027,0.06389581,0.072440505,0.059311464,0.087259024,-0.09645548,0.049391832,0.060277384,-0.058882624,0.08342672,0.10480966,0.035500344,-0.0343001,-0.06326694,0.09771429,0.11058096,0.02017252,0.07119892,0.088234626,0.062150534,-0.07287311,0.07282432,0.06792155,-0.0940426,-0.07182632,-0.079311416,0.10158593,-0.009389152,0.09294955,0.052212384,0.008082166,0.0377331,0.003799795,0.008532593,-0.021918159,-0.039255645,-0.035504825,0.001819262,0.014590002,-0.030913383,0.012207075,-0.09258083,0.012009895,-0.053169653,0.038189255,0.11115581,-0.093300946,0.021923222,-0.001539609,-0.09322617,0.09545492,-0.0009364,0.12154027,0.101025485,-0.037827518,0.0788289,0.104216985,0.014837968,0.042685434,-0.013473635,0.023637138,0.112489745,0.003081159,-0.012163338,0.13339481,-0.026588282,0.020987386
0.0588876,-0.031955704,-0.036755748,0.09465153,-0.047120523,-0.08441366,0.027909458,0.002629206,0.07214983,-0.041339792,0.005695394,0.04997404,0.02869975,-0.03318656,0.08133533,-0.05422037,0.067759074,0.10320834,-0.02467984,0.035114653,-0.050237976,0.03865007,-0.04787383,0.07175602,-0.084473595,0.023145288,0.10357147,-0.005050098,0.08543286,0.005816388,-0.010638672,0.001845921,0.023102595,0.09783004,-0.021877844,-0.059901774,0.04992847,0.07956673,0.056278754,-0.033388384,0.044116065,-0.01458849,0.040945087,0.05506638,0.03395276,-0.00390928,0.102745615,0.006850021,0.05161355,0.10018751,-0.06951098,0.05217782,0.07169726,0.005481609,-0.007314123,0.09817542,0.10941078,0.0477525,-0.027660232,0.04308791,-0.06268041,-0.025769075,-0.08254107,0.000118816,0.088207096,0.09080382,-0.006588204,0.050476592,-0.046521828,0.033185277,0.030498106,-0.022427212,0.09309844,-0.036222145,-0.061056707,-0.034650296,-0.12756684,-0.03234856,0.09082973,-0.033553846,0.10520534,-0.047099363,-0.022039639,0.030055175,0.04672596,-0.07261612,-0.08476327,-0.031938653,-0.037206836,0.082293734,0.06534991,-0.037744172,0.057197955,-0.03731788,0.040033948,0.05510827,0.09270238,-0.030705359,-0.07426086,-0.057712752
-0.076594554,0.013108117,-0.039570954,-0.008608713,0.023836,-0.05930608,-0.04798027,0.04926853,-0.038693793,0.06508549,-0.07323287,-0.08646467,0.069631115,0.09459175,0.06675728,-0.007305785,-0.086240195,-0.034701794,-0.04757789,0.041048814,0.11811531,0.02851819,0.036811393,0.07057411,0.066494994,-0.05940736,-0.000502884,-0.07997634,-0.025769677,-0.08107399,0.03311416,0.056986056,-0.07278511,0.1081566,-0.07557881,-0.05104242,-0.10273481,-0.065264046,0.059876587,0.052396826,-0.057383887,-0.010221996,-0.031531718,-0.04640063,0.049108297,0.052424252,0.09206256,0.050805394,0.09758982,0.06415112,-0.07192923,-0.060955428,0.118696086,0.008606602,0.06495145,0.0579066,-0.056089357,-0.033607632,0.053372853,-0.02227234,0.05574539,0.06703493,0.09259332,0.005843495,0.020439055,-0.04790819,-0.000599529,-0.065435655,0.07812717,-0.03664886,0.066077776,0.055361185,-0.002555246,0.025805514,-0.08577189,-0.06140602,-0.04779262,-0.050958086,0.056261975,0.007814073,0.031443868,-0.074168615,-0.07201527,0.000626354,0.098718025,0.029862924,0.06048539,0.029440746,0.09290751,0.074656054,-0.056417156,-0.031873915,0.0936485,-0.02416716,0.08268839,0.100665525,-0.055399206,0.010591404,0.13166943,-0.011409123
0.09884965,0.10088414,-0.058340482,0.033080135,0.006809182,0.11485006,0.079184145,0.039419625,-0.112635136,-0.038939927,0.03758607,0.044469655,-0.11503796,0.018890845,-0.04361129,0.014422681,0.009788983,-0.015286439,0.030265398,0.09265612,0.016346898,-0.052327365,0.043299492,-0.048200075,-0.011642369,0.071133,0.104426675,0.03499596,0.115318075,0.058467735,0.043849647,-0.04986761,-0.036867287,0.07187007,0.023386713,0.109669305,0.06333322,0.027072338,0.07797259,0.025304632,0.003982673,0.07496892,0.02684244,-0.048975978,-0.02107183,0.03361555,-0.036656007,0.10498431,0.007533336,0.004444932,0.01761255,-0.078051925,-0.03466097,-0.019440984,0.0843749,-0.1061706,0.09918842,0.08762194,-0.07194544,0.07386368,-0.08130453,0.006095704,0.06655299,0.043474406,0.06503451,0.036048274,-0.04470448,-0.09797302,-0.056975856,-0.032609493,0.000565621,0.08061396,-0.008014884,-0.017086279,0.056751303,-0.02026544,-0.0395257,-0.04708112,-0.044276144,0.100477785,-0.049912997,0.098510854,0.058617473,-0.06807718,-0.046129502,-0.03716902,-0.000802289,-0.08378182,-0.047725394,0.041293975,0.09524713,0.063861586,0.049144186,-0.047143914,-0.035521943,0.046704475,-0.012706783,0.08520185,0.016046029,0.05832367
